Section,Task,Desktop,Browser (Claude Code),Files / Location,Comments
"A. Blocked on Anthony (settings only, no code)",A1 — Replace GIT_TOKEN. Returns 401. Generate a new GitHub PAT with repo read scope; set in GitHub > Settings > Environments > prod.,OWNS,,"GitHub > Settings > Environments > prod (no file). Consumed by .github/workflows/cd.yml, scripts/sync-railway-env.sh",🔴 LIVE FAILURE. Every customer GitHub deep scan is failing right now. Highest priority in the project. Two minutes to fix.
"A. Blocked on Anthony (settings only, no code)","A2 — Supply PRD section 3: five tier names, prices, inclusions, exclusions, credits per month, seats.",support,support,Not in the repo. Blocks lib/content.ts (PLANS) and GHL products,⛔ Blocks PR 1.1 (Browser) AND GHL products items B4/B5 (Desktop). One answer unblocks both lanes. Neither session may invent pricing.
"A. Blocked on Anthony (settings only, no code)",A3 — Set ALERT_WEBHOOK_URL in GitHub prod environment.,OWNS,,"GitHub prod env. Consumed by lib/alerting.ts, backend/alerting.py, .github/workflows/health-check.yml","Alerting is fully built and tested across three senders. It currently has nowhere to POST, so it is inert."
"A. Blocked on Anthony (settings only, no code)",A4 — Set DATABASE_URL_UNPOOLED in GitHub prod environment.,OWNS,,"GitHub prod env. Consumed by lib/db/client.ts (migrationUrl()), scripts/migrate.ts","Migrations currently run over the pooled connection with a warning. Pooler does not hold advisory locks, so concurrent deploys are not serialised."
"A. Blocked on Anthony (settings only, no code)",A5 — Railway: disable GitHub auto-deploy on the API service.,OWNS,,Railway console (no file),"Two systems deploy the backend. When they disagree, 'what is running in production?' has no answer."
B. GHL (docs/GHL-WORK-ORDER.md),"B1 — Audit existing GHL: pipelines, stages, workflows, products, payment links, custom fields, payment processor + mode.",OWNS,,docs/GHL-WORK-ORDER.md §4 item 1; compare against docs/GHL_BUILD.md,"Do first. docs/GHL_BUILD.md is a build guide, not a record of what was built — assume drift."
B. GHL (docs/GHL-WORK-ORDER.md),"B2 — Create seven Contact custom fields (sts_last_scan_url, _grade, _score, _at, sts_scan_id, sts_tier, sts_entitlement_expires).",OWNS,support,docs/GHL-WORK-ORDER.md item 2. IDs land in lib/leads.ts + docs/CHANGELOG-BUILD.md,Report field IDs back. /api/lead cannot write a custom field by name — Browser needs the IDs to extend it.
B. GHL (docs/GHL-WORK-ORDER.md),B3 — Confirm or create pipeline: Lead > Scanned > Report sent > Trial > Paid > Churned.,OWNS,support,docs/GHL-WORK-ORDER.md item 3,Report pipeline ID and every stage ID. Do not rename existing stages — report the difference and Browser matches the code to GHL.
B. GHL (docs/GHL-WORK-ORDER.md),B4 — Create five tier products in TEST mode + one payment link per paid tier.,OWNS,,docs/GHL-WORK-ORDER.md item 4,⛔ Blocked on A2. Branding must read 'Secure Total Scan'. Descriptions may contain only claims true today.
B. GHL (docs/GHL-WORK-ORDER.md),"B5 — Create the $1.99 Extended Archive product — DO NOT publish, link or make purchasable.",OWNS,,docs/GHL-WORK-ORDER.md item 5,"⛔ Blocked on A2. Created now only so the product ID exists for the webhook map. Becomes sellable in PR 4.2, when the deletion job and expiry warnings that make the promise real actually exist."
B. GHL (docs/GHL-WORK-ORDER.md),B6 — Configure purchase webhook to POST https://securetotalscan.com/api/webhooks/ghl; capture signing secret into GitHub prod as GHL_WEBHOOK_SECRET.,OWNS,support,docs/GHL-WORK-ORDER.md item 6. Receiver will be app/api/webhooks/ghl/route.ts (PR 2.6),"Endpoint does not exist until PR 2.6 — delivery failures until then are expected, not a fault. Payload must carry order ID, product ID, customer email, amount, currency, timestamp."
B. GHL (docs/GHL-WORK-ORDER.md),B7 — Rename the 'New Link' payment link; standardise customer-visible branding to 'Secure Total Scan'.,OWNS,,docs/GHL-WORK-ORDER.md item 9,"A first-time buyer of a web-security product, asked for card details on link.ifactoryusa.com by a link called 'New Link', is being given every reason not to complete."
B. GHL (docs/GHL-WORK-ORDER.md),"B8 — Report back: every object ID created, every drift from GHL_BUILD.md, webhook payload as configured, test-mode confirmation.",OWNS,support,docs/GHL-WORK-ORDER.md item 10 > docs/CHANGELOG-BUILD.md,Browser writes these into docs/CHANGELOG-BUILD.md as PRD 0.1.8 requires. Field/product/stage IDs are needed soonest — PR 2.6 is written against them.
"C. DNS (one window, batched)","C1 — Add send.securetotalscan.com (Resend), outreach.securetotalscan.com (reserved), pay.securetotalscan.com (GHL checkout) — together, in one change window.",OWNS,support,docs/GHL-WORK-ORDER.md item 8. Records documented by PR 2.5,"⛔ Do not start until A and B are done and records are written down and confirmed. NEVER touch MX, SPF/TXT, or the imap/mail/pop3/smtp CNAMEs. Verify mail flows after — send and receive a real message."
D. Phase 1 — Truthful pricing and UX,1.0 — Dashboard raw-JSON finding render fix.,,OWNS,"app/dashboard/page.tsx, lib/findings.ts, scripts/verify-findings.ts",✅ DONE — merged to master.
D. Phase 1 — Truthful pricing and UX,1.1 — Five pricing tiers; hero CTA scrolls to #pricing; PLANS rewritten with exact inclusions and exclusions.,,OWNS,"lib/content.ts (PLANS), components/Sections.tsx",⛔ BLOCKED on A2. Writing prices from memory would invent customer-facing commercial commitments.
D. Phase 1 — Truthful pricing and UX,"1.2 — Scan input: protocol selector defaulting to HTTPS, accept bare domains, mirror normalizeTarget() client-side.",,OWNS,"lib/scanner/target.ts, components/ScanForm.tsx, scripts/verify-target.ts",✅ DONE — merged. Server stays authoritative; the browser copy is convenience only.
D. Phase 1 — Truthful pricing and UX,1.3 — HTTP posture probe + score re-baseline.,,OWNS,"lib/scanner/httpPosture.ts, lib/scanner/checks.ts, scripts/verify-http-posture.ts","✅ DONE — merged. Also fixed HSTS being double-counted, which cost 16 points for one missing header."
D. Phase 1 — Truthful pricing and UX,1.4 — Remove five false claims; add /preview sample dashboard.,,OWNS,"app/preview/page.tsx, lib/preview-data.ts, lib/content.ts, scripts/verify-claims.ts",✅ DONE — merged and LIVE at securetotalscan.com/preview.
"E. Phase 2 — Persistence, paywall, reports",2.1 — Neon Postgres schema (7 tables) + forward-only migration runner.,,OWNS,"migrations/0001_init.sql, lib/db/client.ts, scripts/migrate.ts, scripts/verify-schema.ts","✅ DONE — merged, and 0001_init.sql confirmed APPLIED in production (CD run 32023370538)."
"E. Phase 2 — Persistence, paywall, reports","2.2 — Record every scan (target, grade, score, findings, cost, 6-month expiry). Starts the peer-comparison cohort.",,OWNS,"lib/db/scans.ts, scripts/verify-persistence.ts, app/api/scan/route.ts, .github/workflows/cd.yml","✅ DONE — pushed, unmerged. Branch claude/sts-phase-0-continuation-154ndo @ f22693c. Also fixed the CD migration job that was silently never running."
"E. Phase 2 — Persistence, paywall, reports","2.3 — Server-side paywall: public/internal type split, one sampled prompt free, entitlement-checked premium route.",,OWNS,"lib/entitlements.ts, lib/scanner/publicReport.ts, app/api/scan/[id]/prompts/route.ts, scripts/verify-paywall.ts, lib/scanner/types.ts","✅ DONE — pushed, unmerged, same branch @ 7e7115c. DO NOT REBUILD. Highest-risk PR in the plan; before it, every premium prompt was in every free visitor's browser."
"E. Phase 2 — Persistence, paywall, reports",2.4 — Branded report PDF + authenticated download route.,,OWNS,"Planned: lib/report/pdf.ts, app/api/report/[id]/route.ts",🔜 NEXT — Browser starts this now. No GHL dependency. Must fit Vercel function limits.
"E. Phase 2 — Persistence, paywall, reports","2.5 — Resend email delivery on send.securetotalscan.com; deliverability evidence for Gmail, Outlook, one corporate domain.",support,OWNS,"Planned: lib/email.ts, docs/DNS-RECORDS.md",⛔ Blocked on C1. Browser writes the code and documents the exact DNS records; Desktop adds them.
"E. Phase 2 — Persistence, paywall, reports","2.6 — GHL entitlement webhook RECEIVER, bound to (scan, customer). Never a success-URL redirect.",support,OWNS,"Planned: app/api/webhooks/ghl/route.ts, lib/db/purchases.ts","Browser can build the route, signature verification and grant against the B6 spec before Desktop configures the sender. Cannot confirm the real payload matches until B8 reports back."
"E. Phase 2 — Persistence, paywall, reports",2.7 — Branded checkout pay.securetotalscan.com; apex and www stay on Vercel.,OWNS,support,GHL console + DNS; docs/CHANGELOG-BUILD.md,⛔ Blocked on C1 and 2.6. Moved here from Phase 6 so first-tier buyers are not paying through an unfamiliar domain for all of Phases 2-5.
"F. Phase 3 — Accounts, allowances, Pro",3.1 — Real per-customer accounts (email magic link) replacing shared STS_ACCESS_CODES.,,OWNS,"Planned: lib/auth/magicLink.ts, lib/db/customers.ts, replaces STS_ACCESS_CODES in lib/auth/session.ts","Depends on 2.5 (the mailer). Closes the 2.3 limitation: today a 'member' proves someone paid, not WHICH customer."
"F. Phase 3 — Accounts, allowances, Pro","3.2 — Scan-credit ledger (10/100), monthly reset on subscription anniversary, no rollover, hard stop at zero with upgrade CTA.",,OWNS,Planned: lib/db/credits.ts,Never a silent failure at zero credits.
"F. Phase 3 — Accounts, allowances, Pro","3.3 — Saved sites (add, label, group, remove), per-site history, grade trend, reports list, real dashboard.",,OWNS,"Planned: app/dashboard/*, lib/db/sites.ts",/preview stays as the marketing demo.
"F. Phase 3 — Accounts, allowances, Pro","3.4 — Subscription lifecycle (activate, cancel, failed payment, refund/chargeback) + explicit tenant-isolation test suite.",support,OWNS,"Planned: lib/db/subscriptions.ts, scripts/verify-tenant-isolation.ts","Named review item: customer A must not read B's sites, scans or reports. Desktop supplies GHL lifecycle events."
"G. Phase 4 — Monitoring, retention, economics","4.1 — Durable monthly scheduler surviving a backend restart (Railway cron or persisted queue, not in-process timers).",,OWNS,Planned: backend/scheduler.py,"FastAPI sessions are in-memory and lost on restart, so an in-process timer silently stops monitoring."
"G. Phase 4 — Monitoring, retention, economics","4.2 — Completion emails; grade-drop and new-critical alerts; retention enforcement (30-day and 7-day expiry warnings, logged deletion); Extended Archive becomes purchasable.",support,OWNS,"Planned: scripts/expire-scans.ts, lib/email.ts",This is when B5's product may be published — not before. Desktop publishes it once the deletion job exists.
"G. Phase 4 — Monitoring, retention, economics","4.3 — docs/UNIT-ECONOMICS.md finalised from 20+ measured deep scans: median, p95, gross margin after blended Stripe fees. Abuse guards.",,OWNS,"docs/UNIT-ECONOMICS.md (withdrawn), backend/cost_harness.py, .github/workflows/cost-measurement.yml",⚠️ The earlier measurement was INVALID — GIT_TOKEN 401 meant 26 repo fixtures scanned nothing while reporting success. Must be re-run after A1.
H. Phase 5 — Visual system and gamification,"5.1 — Motion and design tokens, prefers-reduced-motion, contrast and keyboard baseline, performance budget.",,OWNS,"Planned: app/globals.css, lib/motion.ts",No animation may delay first meaningful paint.
H. Phase 5 — Visual system and gamification,5.2 — Animated data-driven category map (not a spider/radar) + improvement projection.,,OWNS,Planned: components/VulnerabilityMap.tsx,"isitsecure.ai concepts only. Its radar chart, grade rail and stacked benchmark bar are explicitly off-limits as designs."
H. Phase 5 — Visual system and gamification,"5.3 — Scan theatre driven by real scanner events; optional sound off by default, never autoplayed.",,OWNS,Planned: components/ScanTheatre.tsx,Attack vignettes tied to actual findings only — never invented ones.
H. Phase 5 — Visual system and gamification,5.4 — Peer comparison from scans recorded since Phase 2. Hidden below a 100-scan cohort.,,OWNS,Planned: lib/db/cohort.ts — reads the rows lib/db/scans.ts writes,"PR 2.2 is what starts the cohort accruing, which is why it went early. No seeded, estimated or hardcoded benchmark."
I. Phase 6 — QA and go-live,"6.1 — Branding verification: pay. resolves to GHL, apex and www serve the app, mail flows, branding consistent across all five tiers.",OWNS,support,"docs/CHANGELOG-BUILD.md, scripts/verify-claims.ts","Verification only — no DNS change. Desktop checks the consoles, Browser fixes any code drift."
